id,ra,dec,mjd,cmag,cerr,filter
169.42996,185.43115538363395,-31.995326880298613,56371.32753837388,21.433147,0.020651,g
169.42996,185.43114619688623,-31.995323612770395,56371.328562532086,21.231598,0.022473,r
169.42996,185.4311392449426,-31.99532013720745,56371.3295818707,21.149094,0.026192,i
169.42996,185.43114172605289,-31.995334269455853,56371.33060977142,21.237938,0.045429,z
169.42996,185.4311449410449,-31.99532481043016,56371.33163310867,21.346725,0.015112,g
169.42996,185.4311471721375,-31.99532327573392,56371.33505055169,21.313051,0.0134,g
169.42996,185.4311449477703,-31.995324667836204,56371.33847364364,21.295834,0.013803,g
169.42996,185.43114383723,-31.99532606994841,56371.3418992213,21.172163,0.011744,r
169.42996,185.4311412804707,-31.99532673638275,56371.345317575615,21.17969,0.012446,r
169.42996,185.4311437361132,-31.99532656539805,56371.34875595337,21.16688,0.013248,r
169.42996,185.43114273356048,-31.995325405145888,56371.35217823181,21.072199,0.0144,i
169.42996,185.4311427904492,-31.995325655193643,56371.35636010301,21.044388,0.013995,i
169.42996,185.43114294833572,-31.99532467946968,56371.36054699542,21.046759,0.016128,i
169.42996,185.43114245407196,-31.99532612424809,56371.36473135324,21.146702,0.023616,z
169.42996,185.43114215565893,-31.99532174044593,56372.246586925816,21.296055,0.015913,i
169.42996,185.43114481322783,-31.99531965605252,56372.25076464238,21.309652,0.020496,i
169.42996,185.4311421131412,-31.995321444382263,56372.25494774757,21.269573,0.018555,i
169.42996,185.43114113555373,-31.99532146639228,56372.25914694183,21.264221,0.030001,z
169.42996,185.43114362482788,-31.99532197005113,56372.26332813827,21.279171,0.024166,z
169.42996,185.4311441298784,-31.99532206362349,56372.26751406677,21.288246,0.029109,z
169.42996,185.4311296954301,-31.99532023618293,56808.11279620789,21.682076,0.039611,g
169.42996,185.43117300209389,-31.995311583762604,56808.11484125629,21.653946,0.039409,g
169.42996,185.4311828395275,-31.99531577315308,56808.11687636701,21.633411,0.040903,g
169.42996,185.4311503222538,-31.99532299226863,56808.1189353466,21.637726,0.018288,g
169.42996,185.4311478364761,-31.995321611075696,56808.12236514408,21.641321,0.019895,g
169.42996,185.4311484220889,-31.995322889065484,56808.1257943064,21.625746,0.019594,g
169.42996,185.43114571475652,-31.99532081448891,56808.129221581854,22.534855,0.085155,u
169.42996,185.43114751964328,-31.99532055667142,56808.13339211652,22.65842,0.102069,u
169.42996,185.43114930915308,-31.99531848348219,56808.13758446276,22.580896,0.092651,u
169.42996,185.4311593420118,-31.99532272384597,57099.2267618319,21.22192,0.041331,r
169.42996,185.4311391948711,-31.995319135430552,57099.22742930567,21.216057,0.02035,g
169.42996,185.43114424492336,-31.995327221821,57099.22845077608,21.170925,0.023377,r
169.42996,185.43114181569047,-31.99532659067537,57099.22946189204,21.012604,0.029394,i
169.42996,185.4311564628483,-31.995322728818987,57099.23049328663,21.16751,0.055436,z
169.42996,185.4311563360063,-31.99532940696265,57099.23254737817,21.225342,0.01894,g
169.42996,185.43115478886855,-31.995323342070314,57099.23358214088,21.221941,0.027488,r
169.42996,185.43115374200065,-31.995324797819357,57099.234598895535,21.100706,0.038191,i
169.42996,185.43114872112,-31.995327969421563,57099.23560932651,21.127487,0.058538,z
169.42996,185.4311588226217,-31.99531649920992,57099.23895904189,21.334312,0.02477,g
169.42996,185.43115861177807,-31.99532835922057,57099.23997015366,21.217728,0.029097,r
169.42996,185.43115739505996,-31.99532306321918,57099.24099372746,21.050112,0.040798,i
169.42996,185.43116479213452,-31.995324489865933,57099.24201582698,21.128525,0.047469,z
169.42996,185.4311456804204,-31.995329250441166,57100.21505838912,21.590763,0.047364,r
169.42996,185.43115106471,-31.99531138441985,57100.21573559381,21.868986,0.032572,g
169.42996,185.43113687355049,-31.99531814812804,57100.21676620096,21.52617,0.033126,r
169.42996,185.43114853701567,-31.9953150147105,57100.21778751211,21.455185,0.04525,i
169.42996,185.4311317803629,-31.995313996111754,57100.21879900433,21.306684,0.089067,z
169.42996,185.43115891173105,-31.99531577944939,57100.22086548898,21.908148,0.047367,g
169.42996,185.4311410789783,-31.995324794057424,57100.22188758943,21.52689,0.034229,r
169.42996,185.431144417382,-31.995330184402786,57100.22291116184,21.385147,0.048776,i
169.42996,185.43115347244316,-31.995320173724767,57100.223930558655,21.352142,0.066456,z
169.42996,185.43122285749465,-31.995326122290276,57100.22496226616,22.500559,0.223891,u
169.42996,185.43115679596133,-31.99532740709404,57100.22597764945,21.868729,0.03808,g
169.42996,185.43115964914568,-31.9953297491654,57100.2270013513,21.519434,0.035557,r
169.42996,185.43117254531816,-31.995316486224368,57100.2280169744,21.49838,0.049025,i
169.42996,185.43115829792205,-31.99532436708664,57100.22904834151,21.274572,0.076927,z
169.42996,185.4311530323353,-31.99532105504024,57111.9930644636,21.606575,0.068131,r
169.42996,185.4311531442194,-31.99532037483208,57111.9951209249,21.414993,0.055727,i
169.42996,185.43115371029893,-31.99532184169347,57111.99717862951,21.807182,0.096511,g
169.42996,185.4311563620572,-31.995322302460696,57111.999240333214,21.49228,0.067027,r
169.42996,185.43115498797243,-31.99532062918531,57112.00130762486,21.548912,0.065646,i
169.42996,185.4311516238521,-31.99532220763345,57112.003361621406,21.87625,0.099728,g
169.42996,185.43115252918903,-31.9953206304506,57112.0054308516,21.575302,0.058699,r
169.42996,185.43115341809448,-31.995320476122316,57112.00750648976,21.372433,0.052422,i
169.42996,185.43115480414792,-31.99532183788594,57112.00956411567,21.971304,0.097114,g
169.42996,185.43115403095413,-31.995322194672895,57112.01161309425,21.529297,0.062713,r
169.42996,185.4311549208344,-31.99532117776156,57112.01367241656,21.490652,0.050255,i
169.42996,185.43114849975055,-31.99532190863314,57112.01572847413,22.011673,0.10767,g
169.42996,185.4311535475232,-31.995320988299305,57112.0177943958,21.507442,0.051977,r
169.42996,185.43115347351167,-31.995320891757785,57112.0198572753,21.47121,0.053352,i
169.42996,185.4311523728888,-31.99532467156075,57112.02192429779,21.813131,0.088267,g
169.42996,185.43115287414,-31.99532247404102,57112.02397588501,21.575737,0.053482,r
169.42996,185.4311546443556,-31.99532040121761,57112.02605312131,21.666874,0.055524,i
169.42996,185.431149943966,-31.995321338528385,57112.0281114378,21.978931,0.101136,g
169.42996,185.43115317710752,-31.99532050643399,57112.03016092815,21.634336,0.056392,r
169.42996,185.4311524853881,-31.995320852716443,57112.03222590732,21.54861,0.060583,i
169.42996,185.43115351238728,-31.995322952221287,57112.03428016929,21.950336,0.09048,g
169.42996,185.4311531661295,-31.9953217345922,57112.03633855516,21.54664,0.051174,r
169.42996,185.4311530534985,-31.99532058980116,57112.03840065049,21.484951,0.059963,i
169.42996,185.4311504732723,-31.995321866817758,57112.04046866624,22.00769,0.10003,g
169.42996,185.4311517511664,-31.995321115794276,57112.042536247056,21.600393,0.050672,r
169.42996,185.4311519538086,-31.99532150183039,57112.044606719166,21.62911,0.06637,i
169.42996,185.43115300813176,-31.99532274605532,57112.04667309672,22.112122,0.108777,g
169.42996,185.431152475274,-31.995321903678292,57112.048719731625,21.633577,0.053381,r
169.42996,185.4311529999829,-31.995321077505096,57112.050788010936,21.605999,0.055833,i
169.42996,185.43114926163312,-31.99532210596044,57112.05284984456,22.074514,0.089073,g
169.42996,185.4311524090412,-31.995320256194645,57112.05490842834,21.567863,0.054585,r
169.42996,185.43115230144997,-31.99532059588005,57112.05696839001,21.591948,0.057691,i
169.42996,185.431151922781,-31.99532309441651,57112.05903855292,22.06056,0.093295,g
169.42996,185.43115250820196,-31.99532105769136,57112.06109689176,21.56168,0.04415,r
169.42996,185.43115376598257,-31.99531969388691,57112.063155693,21.532661,0.044681,i
169.42996,185.43115040548915,-31.995322152518117,57112.06521027209,21.908426,0.069167,g
169.42996,185.43115357536504,-31.995320765537432,57112.06727434043,21.608433,0.050271,r
169.42996,185.43115334307944,-31.99532020459948,57112.06933735544,21.498999,0.047055,i
169.42996,185.4311548241444,-31.995322295804137,57112.07140598027,22.001362,0.080025,g
169.42996,185.43115393971277,-31.995321574097943,57112.07346381806,21.571865,0.050472,r
169.42996,185.4311546214633,-31.995321369553995,57112.07552502677,21.597395,0.0548,i
169.42996,185.43115271661168,-31.99532113857206,57112.07760347519,21.821867,0.076908,g
169.42996,185.43115368889383,-31.995321211876597,57112.07966158353,21.53267,0.048164,r
169.42996,185.43115375855763,-31.99532060218531,57112.08172458084,21.547964,0.048707,i
169.42996,185.4311538391317,-31.995321431152245,57112.08377274405,21.844393,0.068262,g
169.42996,185.4311553159255,-31.995321483035315,57112.08585056197,21.474924,0.039735,r
169.42996,185.43115334224885,-31.99532163736852,57112.0879196981,21.509813,0.043649,i
169.42996,185.4311507129489,-31.995320474916177,57112.08997503482,21.841076,0.07741,g
169.42996,185.4311528830835,-31.99532074167883,57112.0920314095,21.466179,0.041341,r
169.42996,185.4311526903573,-31.99532147471101,57112.09408326354,21.502066,0.055625,i
169.42996,185.43115373198324,-31.99532208927157,57112.096141741145,21.661345,0.067457,g
169.42996,185.4311541641117,-31.99532168819482,57112.09821769223,21.405182,0.035521,r
169.42996,185.4311541330846,-31.9953210093788,57112.10027886927,21.240253,0.044266,i
169.42996,185.43115131425168,-31.99532087666369,57112.10233151447,21.646175,0.059314,g
169.42996,185.43115326872325,-31.99531993844506,57112.104384996,21.254879,0.041542,r
169.42996,185.43115278453635,-31.995321099426885,57112.10643769335,21.230558,0.041996,i
169.42996,185.43115302009025,-31.99532322187952,57112.10848566285,21.549578,0.056801,g
169.42996,185.4311536778008,-31.995321242501383,57112.11054482311,21.357616,0.042946,r
169.42996,185.43115366353445,-31.995320573822838,57112.11260209931,21.212097,0.03787,i
169.42996,185.43115224833036,-31.995320869119254,57112.11467426596,21.450274,0.03961,g
169.42996,185.431153157378,-31.995320703557983,57112.11673540296,21.313377,0.036626,r
169.42996,185.4311533930618,-31.9953210444509,57112.118787945714,21.274364,0.033851,i
169.42996,185.43115432108416,-31.99532340097021,57112.12085093139,21.528963,0.050166,g
169.42996,185.43115428879756,-31.99532131972645,57112.12290406134,21.28794,0.029903,r
169.42996,185.4311536894851,-31.995320742638796,57112.12496006861,21.24983,0.031481,i
169.42996,185.4311520859457,-31.995321196535983,57112.12702620402,21.441002,0.038203,g
169.42996,185.43115341741284,-31.99532005082656,57112.12908975873,21.277277,0.033415,r
169.42996,185.4311535598021,-31.99532015238037,57112.131162257865,21.218403,0.032305,i
169.42996,185.4311540989465,-31.99532201362356,57112.13323347038,21.40716,0.038605,g
169.42996,185.431154843616,-31.995321573426896,57112.135298769455,21.258852,0.027195,r
169.42996,185.4311535448873,-31.99532085529221,57112.1373683461,21.216375,0.026954,i
169.42996,185.43115326214703,-31.99532162186477,57112.13944251137,21.37464,0.034483,g
169.42996,185.43115426310965,-31.995320855083232,57112.14151028032,21.228329,0.027596,r
169.42996,185.43115340654677,-31.995321143611005,57112.14357962599,21.135492,0.0249,i
169.42996,185.43115423748344,-31.995320942282127,57112.14564250875,21.328197,0.034684,g
169.42996,185.43115464159217,-31.99532122457605,57112.14769684197,21.24159,0.027094,r
169.42996,185.43115460858743,-31.995320350289774,57112.149762958754,21.115866,0.026852,i
169.42996,185.4311533711157,-31.99532062536306,57112.15182475466,21.202984,0.033177,g
169.42996,185.43115401881676,-31.99532018447263,57112.15388827212,21.177961,0.021176,r
169.42996,185.43115389553608,-31.995320836178852,57112.15595541289,21.02919,0.025826,i
169.42996,185.4311551078364,-31.99532240641787,57112.1580101843,21.293497,0.03961,g
169.42996,185.43115383484903,-31.995321932998365,57112.16007325752,21.16659,0.024788,r
169.42996,185.43115354173045,-31.99532037783694,57112.16213226924,21.086788,0.026133,i
169.42996,185.4311527813064,-31.99532098438417,57112.16418174142,21.279129,0.028954,g
169.42996,185.43115305006395,-31.995320857776345,57112.1662486,21.156507,0.024487,r
169.42996,185.4311535486496,-31.995321181930027,57112.168293518014,21.111582,0.023053,i
169.42996,185.431154246066,-31.995321942403088,57112.17036276125,21.24973,0.034282,g
169.42996,185.43115417150804,-31.99532172311703,57112.17242683983,21.18017,0.019571,r
169.42996,185.43115416379868,-31.99532085301313,57112.17449040478,21.055172,0.028704,i
169.42996,185.43115346285356,-31.99532036730057,57112.176546997856,21.19894,0.032774,g
169.42996,185.43115306772785,-31.99532033646021,57112.17861116119,21.13387,0.030306,r
169.42996,185.43115340176436,-31.99532117325013,57112.1806739429,21.049326,0.032924,i
169.42996,185.43115380605343,-31.99532140970284,57112.18272625422,21.205845,0.033679,g
169.42996,185.43115400813343,-31.995321538612384,57112.18478295067,21.16007,0.027998,r
169.42996,185.4311535419852,-31.995320949793296,57112.18687316682,21.040241,0.028292,i
169.42996,185.43115292229012,-31.995321416616758,57112.18893048167,21.236675,0.035086,g
169.42996,185.43115300370457,-31.9953202339331,57112.19099496258,21.18941,0.028098,r
169.42996,185.4311528444609,-31.99532045611878,57112.19304729672,21.16667,0.035912,i
169.42996,185.431155495229,-31.99532223166018,57112.19510692032,21.252003,0.036795,g
169.42996,185.43115436012636,-31.99532166733512,57112.19716156693,21.206457,0.029302,r
169.42996,185.431154563282,-31.995320284201487,57112.19922080822,21.07178,0.028189,i
169.42996,185.43115230114407,-31.995320772074532,57112.20242920704,21.299507,0.042023,g
169.42996,185.4311525519807,-31.995320388395527,57112.204500800464,21.181389,0.024587,r
169.42996,185.4311529618836,-31.99532035953745,57112.20656433329,21.063807,0.036531,i
169.42996,185.43115433905692,-31.99532165014457,57112.20861871168,21.28849,0.035388,g
169.42996,185.43115364128423,-31.99532128508689,57112.21067901561,21.183834,0.025289,r
169.42996,185.43115482842225,-31.9953213952349,57112.212743346114,21.041523,0.036428,i
169.42996,185.43115299266705,-31.995320337362735,57112.21480989177,21.325048,0.039208,g
169.42996,185.4311537641488,-31.99532033547444,57112.21691870643,21.215097,0.023182,r
169.42996,185.4311527397908,-31.99532082852269,57112.21898834826,21.099064,0.028497,i
169.42996,185.43115458327145,-31.99532158120239,57112.22103560204,21.288189,0.040515,g
169.42996,185.43115507616105,-31.99532234788064,57112.22309360979,21.20259,0.032212,r
169.42996,185.4311533012037,-31.99532109250273,57112.225168468896,21.111887,0.027572,i
169.42996,185.4311546948233,-31.99532136974969,57112.22724048141,21.352499,0.03388,g
169.42996,185.43115328338337,-31.99532014913122,57112.22930681147,21.214302,0.024486,r
169.42996,185.4311530287963,-31.99532064190947,57112.23137569893,21.15882,0.031688,i
169.42996,185.431155386658,-31.9953217639601,57112.233430751134,21.326612,0.036896,g
169.42996,185.43115492864865,-31.995321763360995,57112.23548416374,21.248156,0.031308,r
169.42996,185.4311536876048,-31.9953203143192,57112.23754429398,21.167402,0.032614,i
169.42996,185.43115470185333,-31.99532148714635,57112.23960240791,21.392496,0.038102,g
169.42996,185.43115318009157,-31.995320653681954,57112.24165952299,21.22935,0.029202,r
169.42996,185.4311534221756,-31.995320551045985,57112.24372353824,21.162355,0.034881,i
169.42996,185.4311557790706,-31.995321550270983,57112.24578106031,21.391445,0.042927,g
169.42996,185.43115363375912,-31.99532135784339,57112.24783503963,21.257906,0.024285,r
169.42996,185.43115326514237,-31.99532083489938,57112.249904349446,21.128696,0.035397,i
169.42996,185.4311546488809,-31.99532065623049,57112.25196385058,21.421797,0.045943,g
169.42996,185.4311531596464,-31.995320344590663,57112.25403001485,21.309637,0.031408,r
169.42996,185.4311526020651,-31.995320116845992,57112.25608116994,21.226051,0.036221,i
169.42996,185.43115524283724,-31.99532238406257,57112.25814789068,21.37686,0.04142,g
169.42996,185.43115382725415,-31.99532032408139,57112.260230232496,21.200418,0.029703,r
169.42996,185.43115422675487,-31.99532028680734,57112.26229256205,21.110243,0.031276,i
169.42996,185.431155585485,-31.995321369421852,57112.264358452056,21.504786,0.044938,g
169.42996,185.4311530854228,-31.995320437368807,57112.26642113505,21.213013,0.028399,r
169.42996,185.4311531966149,-31.99532033850808,57112.26847825339,21.17891,0.039417,i
